pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
11 Com b,326.03000000,1.290000,,,6165.60000,19.40000,0.231000,,4742.00,19.00,2.70,-0.350,2.31
11 Com b,,1.210000,,,5434.70000,17.10000,,,,,2.60,,
11 UMi b,,1.510000,,,3432.40000,10.80000,,,,,1.70,,
11 UMi b,516.21997000,1.530000,,,4684.81420,14.74000,0.080000,,4213.00,29.79,2.78,-0.020,1.93
11 UMi b,516.22000000,1.540000,,,3337.07000,10.50000,0.080000,,4340.00,24.08,1.80,0.040,1.60
14 And b,,0.680000,,,1017.00000,3.20000,,,,,1.20,,
14 And b,185.84000000,0.830000,,,1525.50000,4.80000,0.000000,,4813.00,11.00,2.20,-0.240,2.63
14 Her b,1766.41000000,2.830000,,,1541.46777,4.85000,0.367400,,5314.94,1.00,0.97,0.405,4.43
14 Her b,1724.00000000,2.820000,,,1554.12000,4.89000,0.370000,,,,1.00,0.350,
14 Her b,1766.00000000,2.864000,,,1581.13800,4.97500,0.359000,,5280.00,1.00,0.91,0.400,4.40
14 Her b,,2.730000,,,1440.66300,4.53300,0.357000,,,,0.90,,
14 Her b,1773.40000000,2.770000,,,1474.67000,4.64000,0.369000,,,,,,
14 Her b,1773.40002000,2.930000,,,1481.08780,4.66000,0.370000,,5338.00,0.93,0.90,0.410,4.45
14 Her b,1796.40000000,2.800000,,,1506.45000,4.74000,0.338000,,5255.00,,0.90,0.510,4.40
16 Cyg B b,800.80000000,1.600000,,,476.70000,1.50000,0.634000,,5760.00,,1.00,0.050,4.35
16 Cyg B b,798.50000000,1.660000,,,565.73740,1.78000,0.680000,,5750.00,1.13,1.08,0.060,4.36
16 Cyg B b,799.50000000,1.680000,,,533.93000,1.68000,0.689000,,,,,,
16 Cyg B b,798.50000000,1.681000,,,533.95440,1.68000,0.681000,,5674.00,,0.99,0.038,4.36
16 Cyg B b,799.45000000,1.676000,,,556.83537,1.75200,0.683200,,5711.97,1.16,0.98,0.074,4.30
16 Cyg B b,799.50000000,1.680000,,,533.93000,1.68000,0.689000,,5747.00,1.13,1.03,0.060,4.35
17 Sco b,578.38000000,1.450000,,,1373.01872,4.32000,0.060000,,4157.00,25.92,1.22,-0.010,1.70
18 Del b,993.30000000,2.600000,,,3273.50000,10.30000,0.080000,,4979.00,8.50,2.30,-0.052,2.82
18 Del b,,2.540000,,,3127.30000,9.84000,,,,,2.10,,
1RXS J160929.1-210524 b,,330.000000,,,4000.00000,12.00000,,1700,4060.00,,0.85,,
1RXS J160929.1-210524 b,,330.000000,,,3000.00000,8.00000,,1700,4060.00,,0.85,,
1RXS J160929.1-210524 b,,330.000000,,,3000.00000,8.00000,,1800,3993.00,1.31,0.62,,4.00
1RXS J160929.1-210524 b,,330.000000,18.647,1.664,2543.00000,8.00000,,1800,4060.00,1.35,0.85,,
24 Boo b,30.35060000,0.190000,,,289.22530,0.91000,0.042000,,4893.00,10.64,0.99,-0.770,2.42
24 Sex b,452.80000000,1.333000,,,632.46000,1.99000,0.090000,,5098.00,4.90,1.54,-0.030,3.50
24 Sex c,883.00000000,2.080000,,,273.32000,0.86000,0.290000,,5098.00,4.90,1.54,-0.030,3.50
2M0437 b,,118.000000,,,1271.31363,4.00000,,1450,3100.00,0.84,0.17,0.010,4.50
2MASS J01033563-5515561 AB b,,84.000000,,,4131.79000,13.00000,,,,,0.19,,
2MASS J01225093-2439505 b,,,11.209,1.000,,,,1600,3309.00,0.37,0.35,,4.86
2MASS J01225093-2439505 b,,52.000000,,,7786.50000,24.50000,,,3530.00,,0.40,,
2MASS J02192210-3925225 b,,156.000000,16.141,1.440,4417.83700,13.90000,,,3064.00,0.28,0.11,,4.59
2MASS J04414489+2301513 b,,15.000000,,,2383.60000,7.50000,,,,,0.02,,
2MASS J12073346-3932539 b,,55.000000,,,1589.15000,5.00000,,1250,,,0.02,,
2MASS J12073346-3932539 b,,46.000000,,,1271.00000,4.00000,,1150,2825.00,0.22,0.19,,5.03
2MASS J19383260+4603591 b,406.00000000,,,,591.16084,1.86000,0.330000,,29564.00,0.20,0.48,,5.51
2MASS J19383260+4603591 b,416.00000000,0.920000,,,603.87700,1.90000,,,,,0.48,,
2MASS J21402931+1625183 A b,7336.50000000,,10.310,0.920,6657.48000,20.95000,0.260000,2075,2300.00,0.12,0.08,,
2MASS J22362452+4751425 b,,230.000000,,,3972.87500,12.50000,,,4045.00,,0.60,,
30 Ari B b,345.40000000,1.010000,,,2097.67800,6.60000,0.180000,,,1.13,1.16,,
30 Ari B b,335.10000000,0.995000,,,3140.03000,9.88000,0.289000,,6300.00,1.13,1.16,0.245,4.50
30 Ari B b,335.10001000,0.990000,,,4392.41060,13.82000,0.290000,,6331.00,1.41,1.93,0.190,4.43
4 UMa b,269.30000000,0.870000,,,2256.50000,7.10000,0.432000,,4415.00,18.11,1.23,-0.250,1.80
42 Dra b,479.10000000,1.190000,,,1233.13000,3.88000,0.380000,,4200.00,22.03,0.98,-0.460,1.71
47 UMa b,1083.20000000,2.110000,,,826.32000,2.60000,0.049000,,,,,,
47 UMa b,1100.80000000,2.110000,,,877.17000,2.76000,0.097000,,,,,,
47 UMa b,1078.00000000,2.100000,,,804.08000,2.53000,0.032000,,5872.00,1.21,1.06,0.040,4.30
47 UMa b,1076.60000000,2.059000,,,774.86566,2.43800,0.016000,,5829.16,1.14,1.01,0.026,4.33
47 UMa b,1076.60000000,2.100000,,,778.68350,2.45000,0.012000,,5882.00,,1.06,0.040,
47 UMa c,7586.00000000,7.730000,,,425.87000,1.34000,0.005000,,,,,,
47 UMa c,2287.00000000,3.404000,,,157.96072,0.49700,0.179000,,5829.16,1.14,1.01,0.026,4.33
47 UMa c,2391.00000000,3.600000,,,171.62100,0.54000,0.098000,,5872.00,1.21,1.06,0.040,4.30
47 UMa d,14002.00000000,11.600000,,,521.22000,1.64000,0.160000,,5872.00,1.21,1.06,0.040,4.30
47 UMa d,19000.00000000,13.800000,,,479.92089,1.51000,0.380000,,5829.16,1.14,1.01,0.026,4.33
51 Eri b,14965.00000000,14.000000,,,,,0.210000,,7295.00,1.49,1.65,,4.31
51 Eri b,,13.200000,,,635.66000,2.00000,,700,,,1.75,-0.027,
51 Eri b,11688.00000000,12.000000,,,,,0.450000,,7295.00,1.49,1.65,,4.31
51 Peg b,4.23079690,0.052350,,,147.47238,0.46400,0.004200,,5760.76,1.19,1.07,0.206,4.32
51 Peg b,4.23100000,0.052000,,,146.20180,0.46000,0.000000,,,,1.04,,
51 Peg b,4.23077000,0.052000,,,148.73800,0.46800,0.000000,,,,,,
51 Peg b,4.23078500,0.052700,,,150.00900,0.47200,0.013000,,5758.00,1.18,1.03,0.180,4.31
51 Peg b,4.22930000,,,,149.38010,0.47000,0.000000,,5773.00,1.29,,0.200,4.32
55 Cnc b,14.65171000,0.116200,,,267.29369,0.84100,0.004800,,5317.89,0.96,0.97,0.383,4.46
55 Cnc b,14.60000000,0.113000,,,254.25000,0.80000,0.000000,700,,,,,
55 Cnc b,14.64700000,0.115000,,,289.21000,0.91000,0.030000,,,,,,
55 Cnc b,14.67000000,0.115000,,,249.17872,0.78400,0.019700,,,,0.95,,
55 Cnc b,14.46531400,0.113390,,,266.96600,0.84000,0.002300,,5250.00,0.96,0.90,0.350,4.42
55 Cnc b,14.65152000,0.115227,,,263.97850,0.83060,0.003400,,,,0.95,,
55 Cnc b,14.65300000,0.115000,,,266.97720,0.84000,0.020000,,,,0.95,0.270,
55 Cnc b,14.64800000,0.110000,,,266.97720,0.84000,0.051000,,5200.00,,0.85,0.230,4.50
55 Cnc b,14.65162000,0.115000,,,261.88100,0.82400,0.014000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc b,14.65160000,0.113400,,,255.40000,0.80360,0.000000,,5172.00,0.94,0.91,0.350,4.43
55 Cnc b,14.65100000,0.113400,,,254.25000,0.80000,0.004000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc b,14.65126000,0.113800,,,260.61000,0.82000,0.015900,,5250.00,0.96,0.90,0.350,4.42
55 Cnc c,44.39890000,0.237300,,,51.20000,0.16110,0.030000,,5172.00,0.94,0.91,0.350,4.43
55 Cnc c,44.34460000,0.240000,,,53.71100,0.16900,0.086000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc c,44.38270000,0.243200,,,54.34866,0.17100,0.048000,,5317.89,0.96,0.97,0.383,4.46
55 Cnc c,44.38000000,0.237000,,,52.44000,0.16500,0.070000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc c,44.37300000,0.237350,,,56.69850,0.17840,0.072000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc c,44.41750000,0.241376,,,54.47380,0.17140,0.020000,,,,0.95,,
55 Cnc c,43.93000000,0.240000,,,68.96911,0.21700,0.440000,,,,0.95,,
55 Cnc c,44.37870000,0.238000,,,52.44000,0.16500,0.053000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc d,4867.00000000,5.446000,,,1226.77000,3.86000,0.026900,,5250.00,0.96,0.90,0.350,4.42
55 Cnc d,5574.20000000,5.957000,,,991.60000,3.12000,0.130000,,5172.00,0.94,0.91,0.350,4.43
55 Cnc d,4909.00000000,5.470000,,,1121.89000,3.53000,0.020000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc d,4825.00000000,5.503000,,,1232.49300,3.87800,0.019000,,,,0.95,,
55 Cnc d,5218.00000000,5.770000,,,1218.82700,3.83500,0.025000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc d,5360.00000000,5.900000,,,1287.21150,4.05000,0.160000,,,,0.95,0.270,
55 Cnc d,4820.00000000,5.540000,,,908.98924,2.86000,0.139000,,5317.89,0.96,0.97,0.383,4.46
55 Cnc d,5370.00000000,5.840000,,,1220.42000,3.84000,0.063000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc d,4517.40000000,5.257000,,,1243.35096,3.91200,0.327000,,,,0.95,,
55 Cnc d,4545.00000000,5.280000,,,918.49000,2.89000,0.240000,,,,,,
55 Cnc e,0.73654170,,,,,,,,,,,,
55 Cnc e,2.79674000,0.037700,,,7.46870,0.02350,0.264000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,,,,,,,,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,2.80800000,0.038000,,,14.30235,0.04500,0.174000,,,,0.95,,
55 Cnc e,,0.015440,1.920,0.171,8.08000,0.02542,,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,0.73654370,0.015440,2.080,0.186,7.81000,0.02457,0.061000,1958,5234.00,0.94,0.91,0.310,4.45
55 Cnc e,0.73655150,0.015691,,,8.13928,0.02561,0.040000,,,,0.95,,
55 Cnc e,0.73654780,0.015439,,,8.09479,0.02547,0.028000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,0.73654000,0.015830,2.000,0.178,8.63000,0.02700,,,,0.94,0.96,,
55 Cnc e,0.73654600,0.015830,2.173,0.194,8.37000,0.02600,0.000000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,0.73653900,0.015440,1.910,0.170,8.08000,0.02542,,,5250.00,0.96,0.90,0.350,4.42
55 Cnc e,0.73654450,0.015830,,,9.37594,0.02950,0.036000,,5317.89,0.96,0.97,0.383,4.46
55 Cnc e,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,0.050000,,5172.00,0.94,0.91,0.350,4.43
55 Cnc e,0.73700000,,1.897,0.169,7.74000,0.02435,,,5172.00,0.95,0.87,0.350,4.43
55 Cnc f,260.91000000,0.773300,,,47.00510,0.14790,0.080000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc f,260.70000000,0.775000,,,44.81200,0.14100,0.000000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc f,259.88000000,0.770800,,,47.80000,0.15030,0.080000,,5172.00,0.94,0.91,0.350,4.43
55 Cnc f,260.00000000,0.781000,,,45.76600,0.14400,0.200000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc f,261.20000000,0.770000,,,54.66400,0.17200,0.320000,,5250.00,0.96,0.90,0.350,4.42
55 Cnc f,262.00000000,0.788000,,,44.81200,0.14100,0.305000,,,,0.95,,
55 Cnc f,260.98000000,0.792000,,,46.87969,0.14750,0.142000,,5317.89,0.96,0.97,0.383,4.46
6 Lyn b,934.30000000,2.110000,,,638.83830,2.01000,0.073000,,4938.00,5.20,1.44,,3.19
6 Lyn b,874.77400000,2.180000,,,702.40430,2.21000,0.125000,,,5.20,1.82,,
6 Lyn b,899.00000000,2.200000,,,762.80000,2.40000,0.134000,,4978.00,5.20,1.70,-0.130,3.16
61 Vir b,4.21487000,0.049560,,,5.11704,0.01610,0.099000,,5585.57,1.03,0.91,0.028,4.37
61 Vir b,4.21500000,0.050201,,,5.10000,0.01600,0.120000,,5577.00,0.96,0.94,-0.010,4.34
61 Vir c,38.02100000,0.217500,,,18.20000,0.05700,0.140000,,5577.00,0.96,0.94,-0.010,4.34
61 Vir c,38.09570000,0.215100,,,16.11390,0.05070,0.068000,,5585.57,1.03,0.91,0.028,4.37
61 Vir d,123.01000000,0.476000,,,22.90000,0.07200,0.350000,,5577.00,0.96,0.94,-0.010,4.34
7 CMa b,796.00000000,1.930000,,,781.86180,2.46000,0.220000,,4794.52,4.91,,0.088,
7 CMa b,735.10000000,1.758000,,,587.98550,1.85000,0.060000,,4826.00,4.87,1.34,0.210,3.19
7 CMa b,763.00000000,1.900000,,,826.30000,2.60000,0.140000,,4792.00,2.30,1.52,0.210,3.25
7 CMa c,996.00000000,2.153000,,,276.51210,0.87000,0.080000,,4826.00,4.87,1.34,0.210,3.19
70 Vir b,116.68800000,0.481000,,,2357.02728,7.41600,0.398800,,5495.00,1.89,1.09,,3.95
70 Vir b,116.68840000,0.480000,,,2421.86460,7.62000,0.400000,,5531.00,1.84,1.14,-0.060,3.97
70 Vir b,116.69260000,0.481000,,,2351.94200,7.40000,0.399000,,5439.00,1.94,1.09,-0.090,3.90
70 Vir b,116.68900000,0.456000,,,2084.88000,6.56000,0.397000,,,,,,
70 Vir b,116.68840000,0.484000,,,2380.45000,7.49000,0.400700,,5545.00,,1.11,-0.012,4.07
70 Vir b,116.69335000,0.476500,,,2297.89938,7.23000,0.398900,,5481.86,1.92,1.06,-0.040,3.89
75 Cet b,691.90000000,2.100000,,,953.49000,3.00000,0.117000,,4846.00,10.50,2.49,0.000,2.63
8 UMi b,93.40000000,0.490000,,,476.74500,1.50000,0.060000,,4847.40,9.90,1.80,-0.030,2.57
8 UMi b,93.40000000,0.490000,,,416.35730,1.31000,0.060000,,4847.00,10.30,1.44,-0.030,2.57
81 Cet b,,2.170000,,,1274.40000,4.01000,,,,,1.60,,
81 Cet b,952.70000000,2.500000,,,1684.40000,5.30000,0.206000,,4785.00,11.00,2.40,-0.060,2.35
91 Aqr b,181.40000000,0.700000,,,1017.00000,3.20000,0.027000,,4665.00,11.00,1.40,-0.030,2.52
AB Aur b,,93.900000,,,2860.45566,9.00000,0.400000,,9770.00,,2.40,,
AB Pic b,,260.000000,,,4290.50000,13.50000,,,,,,,
AU Mic b,8.46321000,,,,17.10000,0.05380,,,3700.00,0.75,0.50,,4.39
AU Mic b,8.46300040,0.064400,4.190,0.374,,,0.120000,,,0.75,,,
AU Mic b,8.46300000,,,,11.70000,0.03681,0.040000,,3700.00,0.75,0.50,,4.39
AU Mic b,8.46300000,0.064500,4.070,0.363,17.00000,0.05349,0.000000,593,3700.00,0.75,0.50,,
AU Mic b,8.46321000,0.066000,4.203,0.375,57.20940,0.18000,0.100000,,3700.00,0.75,0.50,,
AU Mic b,8.46299910,0.064500,,,20.12000,0.06330,0.186000,,,,0.50,,
AU Mic c,18.85901900,,,,22.20000,0.06985,0.041000,,3700.00,0.75,0.50,,4.39
AU Mic c,18.85899100,0.110100,,,9.60000,0.03020,,,,,0.50,,
AU Mic c,18.85901900,0.110100,3.240,0.289,13.60000,0.04279,0.000000,454,3700.00,0.75,0.50,,
AU Mic c,18.85898200,0.110000,2.790,0.249,,,0.130000,,,0.75,,,
BD+03 2562 b,481.90000000,1.300000,,,2034.11200,6.40000,0.200000,,4095.00,32.35,1.14,-0.710,1.89
BD+14 4559 b,268.94000000,0.777000,,,467.19000,1.47000,0.290000,,5008.00,0.95,0.86,0.100,4.60
BD+14 4559 b,268.94000000,0.780000,,,330.54320,1.04000,0.290000,,4864.00,0.86,0.49,0.170,4.26
BD+15 2375 b,153.22000000,0.576000,,,337.21763,1.06100,0.001000,,4649.00,8.95,1.08,-0.220,2.61
BD+15 2940 b,137.48000000,0.539000,,,352.78000,1.11000,0.260000,,4796.00,14.70,1.10,0.280,2.80
BD+20 2457 b,379.63000000,1.050000,,,17668.16970,55.59000,0.150000,,4259.00,71.02,10.83,-0.790,1.77
BD+20 2457 b,379.63000000,1.450000,,,6807.63000,21.42000,0.150000,,4137.00,49.00,2.80,-1.000,1.51
BD+20 2457 c,621.99000000,2.010000,,,3963.17000,12.47000,0.180000,,4137.00,49.00,2.80,-1.000,1.51
BD+20 274 b,578.20000000,1.300000,,,1334.88600,4.20000,0.210000,,4296.00,17.30,0.80,-0.460,1.99
BD+20 594 b,41.68864400,,2.355,0.210,,,,,5703.00,0.96,0.96,-0.060,4.38
BD+20 594 b,41.68550000,0.241000,2.230,0.199,16.30000,0.05129,0.000000,546,5766.00,0.93,0.96,-0.150,4.50
BD+20 594 b,41.68550000,,2.578,0.230,22.24810,0.07000,0.000000,,5766.00,1.08,1.67,-0.150,4.50
BD+45 564 b,307.88000000,0.830000,,,432.24663,1.36000,0.120000,,5004.00,,0.81,-0.090,4.22
BD+48 738 b,392.60000000,1.000000,,,289.22530,0.91000,0.200000,,4414.00,11.00,0.74,-0.200,2.24
BD+48 740 b,733.00000000,1.700000,,,540.31100,1.70000,0.760000,,4534.00,10.33,1.09,-0.130,2.48
BD+49 828 b,2590.00000000,4.200000,,,508.50000,1.60000,0.350000,,4943.00,7.60,1.52,-0.190,2.85
BD+55 362 b,265.59000000,0.780000,,,228.83645,0.72000,0.270000,,5012.00,,0.91,0.180,4.09
BD+60 1417 b,,1662.000000,14.684,1.310,4767.42610,15.00000,,1303,4993.00,0.80,1.00,,4.55
BD+63 1405 b,1198.48000000,2.060000,,,1258.60049,3.96000,0.880000,,5000.00,,0.82,-0.090,4.20
BD-00 4475 b,723.20000000,1.480000,,,7961.60160,25.05000,0.390000,,5040.00,,0.81,-0.140,4.25
BD-06 1339 b,3.87280000,0.042800,,,8.50000,0.02700,0.000000,,4324.00,,0.70,-0.140,4.74
BD-06 1339 c,125.94000000,0.435000,,,53.00000,0.17000,0.310000,,4324.00,,0.70,-0.140,4.74
BD-08 2823 b,5.60000000,0.056000,,,14.40000,0.04500,0.150000,,4746.00,,0.74,-0.070,4.13
BD-08 2823 b,5.60000000,0.060000,,,12.71320,0.04000,0.150000,,4816.00,0.71,0.50,-0.060,4.43
BD-08 2823 c,237.60000000,0.680000,,,104.00000,0.33000,0.190000,,4746.00,,0.74,-0.070,4.13
BD-10 3166 b,3.48790500,0.045000,,,142.70495,0.44900,0.022000,,5382.64,0.97,1.00,0.370,4.46
BD-10 3166 b,3.48777000,0.045200,,,145.56000,0.45800,0.019000,,5393.00,,1.01,0.382,4.68
BD-10 3166 b,3.48777000,0.040000,,,187.51970,0.59000,0.020000,,5393.00,0.91,1.47,0.380,4.69
BD-10 3166 b,3.48700000,0.046000,,,152.55000,0.48000,0.050000,,5400.00,,1.10,0.500,4.40
BD-11 4672 b,1667.00000000,2.280000,,,168.44000,0.53000,0.050000,,4475.00,0.52,0.57,-0.480,4.10
BD-11 4672 b,1634.00000000,2.360000,,,206.58950,0.65000,0.050000,,4550.00,0.64,0.65,-0.350,4.64
BD-11 4672 c,74.20000000,0.300000,,,15.37000,0.04836,0.400000,,4550.00,0.64,0.65,-0.350,4.64
BD-13 2130 b,714.30000000,2.100000,,,3368.99800,10.60000,0.210000,,,,2.40,,
BD-13 2130 b,714.29999000,1.660000,,,3108.37740,9.78000,0.210000,,4545.00,19.17,2.12,-0.080,2.20
BD-17 63 b,655.59998000,1.340000,,,905.81550,2.85000,0.540000,,4665.00,0.74,0.31,0.010,4.19
BD-17 63 b,655.60000000,1.340000,,,1620.90000,5.10000,0.540000,,4714.00,0.69,0.74,-0.030,4.26
CD Cet b,2.29070000,0.018500,,,3.95000,0.01243,,464,3130.00,0.17,0.16,0.130,4.93
CFBDSIR J145829+101343 b,10037.50000000,2.600000,,,3337.10000,10.50000,,370,580.50,,0.02,,4.72
CFHTWIR-Oph 98 b,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,,1800,2320.00,0.24,0.01,,3.85
CHXR 73 b,,210.000000,,,3994.48600,12.56900,,,,,0.35,,
CI Tau b,8.98910000,,,,3686.82800,11.60000,0.250000,,,,0.90,,
COCONUTS-2 b,402000000.00000000,7506.000000,12.442,1.110,2002.31896,6.30000,,434,3406.00,0.39,0.37,0.000,4.83
CT Cha b,,440.000000,24.660,2.200,5403.00000,17.00000,,2600,,,,,
CoRoT-1 b,1.50896860,0.025360,17.385,1.551,327.36490,1.03000,,1915,5950.00,1.13,0.95,-0.300,4.31
CoRoT-1 b,1.50897655,0.025900,15.917,1.420,340.07810,1.07000,0.071000,1834,5950.00,,,-0.300,4.25
CoRoT-1 b,1.50896820,0.027520,19.223,1.715,390.93090,1.23000,0.036000,,6298.00,1.23,1.22,0.060,
CoRoT-1 b,1.50895570,,16.700,1.490,327.35000,1.03000,0.000000,1898,5950.00,1.11,0.95,-0.300,4.25
CoRoT-1 b,1.50895570,0.026100,16.589,1.480,359.14790,1.13000,0.000000,,5950.00,1.14,1.03,,
CoRoT-10 b,13.24060000,0.106000,10.548,0.941,883.56740,2.78000,,647,5075.00,0.74,0.90,0.260,4.65
CoRoT-10 b,13.24060000,0.105500,10.873,0.970,867.67590,2.73000,0.524000,,5075.00,0.79,0.89,0.260,
CoRoT-10 b,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,0.530000,600,5075.00,0.79,0.89,0.260,4.65
CoRoT-11 b,,,,,,,,,6343.00,1.36,1.56,0.040,4.27
CoRoT-11 b,2.99433000,0.044000,15.984,1.426,743.72220,2.34000,,1735,6440.00,1.37,1.26,-0.030,4.26
CoRoT-11 b,2.99432500,0.044070,16.029,1.430,832.71460,2.62000,0.360000,,6440.00,1.37,1.27,0.030,
CoRoT-11 b,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,0.000000,1657,6440.00,1.37,1.27,-0.030,4.22
CoRoT-11 b,2.99432500,0.043510,15.581,1.390,791.39670,2.49000,0.000000,1715,,1.33,1.23,,
CoRoT-12 b,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,0.070000,1442,5675.00,1.12,1.08,0.160,4.38
CoRoT-12 b,2.82805268,0.039200,15.065,1.344,277.46559,0.87300,,1417,,1.05,1.00,,4.38
CoRoT-12 b,2.82804100,,,,,,,,5675.00,1.12,1.08,0.160,4.38
CoRoT-12 b,2.82804200,0.039400,15.132,1.350,281.91521,0.88700,,1410,5675.00,1.05,1.02,0.160,4.41
CoRoT-12 b,2.82804200,0.040130,16.141,1.440,290.81445,0.91500,0.050000,,5675.00,1.12,1.08,0.160,
CoRoT-13 b,4.03515000,,,,,,,,5945.00,1.01,1.09,0.010,4.46
CoRoT-13 b,4.03519000,0.051000,14.034,1.252,416.99296,1.31200,,1432,5945.00,1.27,1.09,0.010,4.26
CoRoT-13 b,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,0.000000,1700,5945.00,1.01,1.09,0.010,4.46
CoRoT-13 b,4.03519000,0.051070,9.920,0.885,423.03173,1.33100,0.067000,,5945.00,1.01,1.09,0.010,
CoRoT-14 b,1.51214000,0.026870,11.411,1.018,2437.75610,7.67000,,1936,6035.00,1.19,1.12,0.050,4.34
CoRoT-14 b,1.51214000,0.026910,12.218,1.090,2358.29860,7.42000,0.036000,,6040.00,1.21,1.13,0.050,
CoRoT-14 b,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,0.000000,1952,6035.00,1.21,1.13,0.050,4.35
CoRoT-16 b,5.35227000,0.061800,13.115,1.170,168.13207,0.52900,0.370000,,5650.00,1.19,1.10,0.190,
CoRoT-16 b,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,0.330000,,5650.00,1.19,1.10,0.190,4.36
CoRoT-17 b,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,0.000000,1626,5740.00,1.59,1.04,0.000,4.40
CoRoT-17 b,3.76810000,0.048100,11.433,1.020,765.97030,2.41000,0.081000,,5740.00,1.59,1.04,0.000,
CoRoT-17 b,3.76810000,0.048100,11.287,1.007,781.86180,2.46000,,1610,5740.00,1.62,1.04,0.000,4.04
CoRoT-18 b,1.90006930,0.028600,14.022,1.251,1039.30410,3.27000,,1490,5440.00,0.92,0.86,-0.100,4.44
CoRoT-18 b,1.90007690,,,,,,,,5440.00,1.00,0.95,-0.100,4.40
CoRoT-18 b,1.90006930,0.029500,14.684,1.310,1099.69180,3.46000,0.025000,,5440.00,1.00,0.95,0.100,
CoRoT-18 b,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,0.080000,1550,5440.00,1.00,0.95,-0.100,4.40
CoRoT-18 b,1.90009000,0.028800,12.846,1.146,1048.83900,3.30000,,1487,,0.88,0.88,,4.49
CoRoT-19 b,3.89713100,,,,,,,,6090.00,1.65,1.21,-0.020,4.07
CoRoT-19 b,3.89713000,0.051200,13.339,1.190,346.43470,1.09000,,1630,6090.00,1.58,1.18,-0.020,4.12
CoRoT-19 b,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,0.047000,2000,6090.00,1.65,1.21,-0.020,4.07
CoRoT-19 b,3.89713000,0.051660,14.460,1.290,367.09365,1.15500,0.056000,,6090.00,1.65,1.21,0.020,
CoRoT-2 b,1.74299750,,15.850,1.414,1052.01730,3.31000,0.000000,1535,5625.00,0.90,0.97,0.000,4.30
CoRoT-2 b,1.74299350,0.028350,16.365,1.460,1134.65310,3.57000,,1521,5598.00,0.90,1.00,0.040,4.53
CoRoT-2 b,1.74299673,0.028100,16.432,1.466,1048.83900,3.30000,0.024000,,5625.00,0.90,0.97,0.000,
CoRoT-2 b,1.74299700,,,,,,,,5696.00,,,0.030,4.42
CoRoT-2 b,1.74299609,,16.533,1.475,,,,,5575.00,,,-0.040,
CoRoT-2 b,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,0.014300,,5625.00,0.91,0.96,,
CoRoT-2 b,1.74299350,0.028540,16.477,1.470,1150.54460,3.62000,,1548,5696.00,0.91,1.02,0.030,4.53
CoRoT-2 b,1.74299640,0.028100,16.421,1.465,1051.97300,3.31000,0.000000,,,,,,
CoRoT-2 b,1.74299673,,,,,,,,5529.00,0.94,0.97,-0.040,4.48
CoRoT-20 b,9.24318000,0.089100,11.209,1.000,1315.81620,4.14000,,1024,,1.16,1.10,,4.35
CoRoT-20 b,9.24285000,0.090200,9.420,0.840,1347.54000,4.24000,0.562000,1002,5880.00,1.02,1.14,0.140,4.20
CoRoT-20 b,9.24285000,0.089200,13.002,1.160,1608.21980,5.06000,,1100,5880.00,1.34,1.11,0.140,4.23
CoRoT-20 b,9.24285000,0.090100,9.416,0.840,1344.42090,4.23000,0.575000,,5880.00,1.02,1.14,0.140,
CoRoT-20 b,9.24285000,0.090000,,,1366.66900,4.30000,0.590000,,,,1.14,,
CoRoT-20 c,1675.00000000,2.900000,,,5403.11000,17.00000,0.600000,,,,1.14,,
CoRoT-21 b,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,0.000000,,6200.00,1.95,1.29,0.000,3.70
